Year,Gender,Place,Team,Finish Time,Finals Time
2023,M,1,CUTTERS,09:27.71,n/a
2023,M,2,Sigma Phi Epsilon,09:27.96,n/a
2023,M,3,Delta Tau Delta,09:35.89,
2023,M,4,Black Key Bulls 1,09:36.29,
2023,M,5,Alpha Sigma Phi,09:49.68,
2023,M,6,Chi Alpha,09:50.18,
2023,M,7,Sigma Alpha Epsilon,09:52.68,
2023,M,8,Phi Gamma Delta 2,09:55.76,
2023,M,9,Ghost Cycling,09:59.78,
2023,M,10,Phi Kappa Psi,10:02.25,
2023,M,11,Phi Delta Theta,10:02.55,
2023,M,12,Beta Sigma Psi,10:04.40,
2023,M,13,Gray Goat,10:16.74,
2023,M,14,3PH Cycling,10:16.79,
2023,M,15,Cinzano,10:19.18,
2023,M,16,Alpha Kappa Psi,10:21.15,
2023,M,17,IUDM,10:22.64,
2023,M,18,Forest Cycling 1,10:27.46,
2023,M,19,CSF Cycling (M),10:28.91,
2023,M,20,Bears,10:30.90,
2023,M,21,Human Wheels,10:33.60,
2023,M,22,Phi Kappa Alpha,10:34.60,
2023,M,23,Sigma Nu,10:36.17,
2023,M,24,Beta Theta Pi,10:40.52,
2023,M,25,Delta Sigma Pi,10:46.16,
2023,M,26,Phi Kappa Psi 2,10:48.25,
2023,M,27,Team Seabiscuit,10:51.06,
2023,M,28,Novus Cycling (M),10:53.05,
2023,M,29,Phi Gamma Nu (M),11:02.37,
2023,M,30,3PH Cycling 2,11:03.89,
2023,M,31,XSF,11:04.79,
2023,M,32,Tau Epsilon Phi,11:15.73,
2023,M,33,Alpha Kappa Lambda,11:19.64,
2023,M,34,Delta Tau Delta B,11:22.65,
2023,M,35,Wild Aces,11:35.12,
2023,M,36,Forest Cycling 2,11:35.82,
2023,M,37,Godspeed,12:12.25,
2023,M,38,Team Secretariat,12:19.64,
2023,M,39,Phi Gamma Delta,12:51.19,
2023,F,1,Teter,10:38.68,10:43.11
2023,F,2,Melanzana,11:00.23,10:51.02
2023,F,3,Delta Gamma,11:01.96,
2023,F,4,SKI,11:21.37,
2023,F,5,Kappa Alpha Theta 1,11:27.41,
2023,F,6,IC Rookies,11:31.73,
2023,F,7,Alpha Chi Omega,11:32.74,
2023,F,8,Independent Council,11:35.35,
2023,F,9,Kappa Delta,11:37.37,
2023,F,10,CSF (W),11:39.35,
2023,F,11,RideOn,11:39.65,
2023,F,12,Kappa Kappa Gamma,11:44.14,
2023,F,13,Kappa Alpha Theta 2,11:58.55,
2023,F,14,Alpha Gamma Delta,12:09.75,
2023,F,15,Delta Gamma 2,12:21.39,
2023,F,16,Delta Zeta,12:33.98,
2023,F,17,Sigma Kappa,12:41.50,
2023,F,18,Phi Gamma Nu (W),12:57.44,
2023,F,19,Alpha Omicron Pi,13:02.51,
2023,F,20,Phi Mu,13:30.50,
2023,F,21,Bison Cycling,13:44.15,
2023,F,22,Alpha Sigma Alpha,15:52.37,
2022,F,1,Kappa Alpha Theta,11:07.84,11:03.96
2022,F,2,Melanzana Cycling,11:25.35,11:11.07
2022,F,3,Delta Gamma,11:35.66,
2022,F,4,Alpha Chi Omega,11:38.23,
2022,F,5,SKI,11:46.41,
2022,F,6,Theta Phi Alpha,11:54.74,
2022,F,7,Kappa Kappa Gamma,12:04.58,
2022,F,8,Teter,12:17.62,
2022,F,9,RideOn Cycling,12:25.85,
2022,F,10,Phi Gamma Nu,12:33.45,
2022,F,11,Kappa Delta,12:41.02,
2022,F,12,CSF Cycling,12:43.16,
2022,F,13,Independent Council Cycling,12:52.40,
2022,F,14,A Chi Cru,12:54.18,
2022,F,15,Sketa,12:56.09,
2022,F,16,Delta Gamma 2,13:01.08,
2022,F,17,Sigma Kappa,13:11.15,
2022,F,18,Alpha Delta Pi,13:14.69,
2022,F,19,Alpha Omicron Pi,13:42.88,
2022,F,20,Alpha Gamma Delta,13:57.19,
2022,F,21,AE Kappa Gamma,15:48.67,
2022,F,22,Sigma Delta Tau,16:14.28,
2022,M,1,Phi Kappa Psi,09:39.83,09:32.36
2022,M,2,Phi Delta Theta,09:42.10,09:38.12
2022,M,3,Black Key Bulls,09:42.44,
2022,M,4,Sigma Phi Epsilon,09:51.68,
2022,M,5,Gray Goat,09:58.46,
2022,M,6,JETBLACH,10:07.84,
2022,M,7,Phi Gamma Delta,10:13.02,
2022,M,8,Black Key Bulls 2,10:22.01,
2022,M,9,Bears,10:22.68,
2022,M,10,Ghost Cycling,10:24.44,
2022,M,11,Forest Cycling,10:35.86,
2022,M,12,Alpha Sigma Phi,10:43.98,
2022,M,13,IUDM Cycling,10:45.68,
2022,M,14,CSF Cycling,10:47.64,
2022,M,15,3PH Cycling,10:53.73,
2022,M,16,Gray Goat 2,10:55.82,
2022,M,17,Beta Theta Pi,10:56.52,
2022,M,18,Beta Sigma Psi,10:58.43,
2022,M,19,Delta Sigma Pi,11:06.30,
2022,M,20,Novus Cycling,11:07.54,
2022,M,21,Delta Upsilon,11:10.68,
2022,M,22,Sigma Chi,11:12.99,
2022,M,23,Forest Cycling 2,11:20.03,
2022,M,24,Delta Sigkey Bull,11:23.15,
2022,M,25,3PH Cycling 2,11:26.14,
2022,M,26,Sigma Phi Kappa Theta,11:36.58,
2022,M,27,NEH Cycling,11:37.02,
2022,M,28,Lambda Chi Alpha,11:41.68,
2022,M,29,Wild Aces Cycling,11:43.74,
2022,M,30,Phi Gamma Nu,11:46.10,
2022,M,31,Sigma Nu,11:55.43,
2022,M,32,McNutt,12:56.00,
2021,M,1,JETBLACH,09:25.67,09:41.71
2021,M,2,Cutters,09:32.42,09:52.58
2021,M,3,Sigma Phi Epsilon 1,09:48.65,
2021,M,5,Phi Kappa Psi,09:53.20,
2021,M,6,Gray Goat 1,09:53.63,
2021,M,7,Bears 1,09:56.27,
2021,M,8,Acacia,10:02.55,
2021,M,9,CSF Cycling,10:02.70,
2021,M,10,Phi Gamma Delta,10:05.06,
2021,M,11,Phi Delta Theta,10:05.79,
2021,M,12,Beta Sigma Psi,10:08.39,
2021,M,13,Forest Cycling,10:12.57,
2021,M,14,Pi Lambda Phi,10:16.23,
2021,M,15,3PH Cycling,10:26.56,
2021,M,17,Gray Goat 2,10:56.24,
2021,M,18,Theta Chi,11:01.47,
2021,M,19,Delta Sigma Pi,11:06.30,
2021,M,20,Bears 2,11:11.09,
2021,M,21,Delta Upsilon,11:24.74,
2021,M,22,Phi Kappa Sigma,11:28.75,
2021,M,23,Novus Cycling,11:35.14,
2021,M,24,Army Cycling,11:35.72,
2021,M,25,Beta Theta Pi,11:35.90,
2021,M,26,3jetblaPH,12:15.52,
2021,M,27,NEH Cycling,12:25.67,
2021,M,28,Sigma Nu,12:52.44,
2021,F,1,Alpha Xi Delta,10:36.51,11:32.58
2021,F,2,Theta Phi Alpha 1,11:01.74,DNF
2021,F,3,Delta Gamma 1,11:10.61,
2021,F,4,Teter,11:24.53,
2021,F,5,Melanzana Cycling 1,11:34.42,
2021,F,6,Alpha Delta Pi,11:36.60,
2021,F,7,RideOn Cycling*,11:41.65,
2021,F,8,Phi Mu,11:43.35,
2021,F,9,Alpha Omicron Pi,11:54.13,
2021,F,10,Alpha Chi Omega 1,11:54.68,
2021,F,11,Ski,11:57.68,
2021,F,12,Phi Gamma Nu,12:09.94,
2021,F,13,Independent Council,12:20.34,
2021,F,14,Women's Rotc,12:57.66,
2021,F,15,Sigma Kappa,13:04.22,
2021,F,16,Delta Gamma 3,13:15.82,
2021,F,17,Sigma Delta Tau,13:23.71,
2021,F,18,Kappa Delta,13:38.25,
2021,F,19,Theta Phi Alpha Xi Delta,14:04.00,
2021,F,20,Alpha Chi Omega 2,14:18.65,
2021,F,21,Delta Gamma 4,15:21.76,
2021,F,22,Melanzana Kappa Gamma,DNF,
2019,F,1,Delta Gamma 1,08:06.77,07:59.92
2019,F,2,Ski 1,08:07.43,08:10.11
2019,F,3,Alpha Chi Omega,08:14.94,
2019,F,4,Teter 1,08:20.32,
2019,F,5,Ski 2,08:20.98,
2019,F,6,Theta Phi Alpha 1,08:21.58,
2019,F,7,Kappa Alpha Theta 1,08:31.85,
2019,F,8,Phi Mu,08:37.36,
2019,F,9,CSF Cycling,08:39.24,
2019,F,10,Alpha Gamma Delta,08:42.10,
2019,F,11,Independent Council 1,08:42.26,
2019,F,12,Alpha Xi Delta,08:44.35,
2019,F,13,Teter 2,08:45.82,
2019,F,14,Cru Cycling,08:50.47,
2019,F,15,Godspeed,08:52.56,
2019,F,16,Alpha Kappa Psi,08:56.45,
2019,F,17,AGSki,09:02.93,
2019,F,18,Alpha Delta Pi,09:05.21,
2019,F,19,Cru/CSF/Phi Mu/Mel,09:07.42,
2019,F,20,Delta Gamma 2,09:10.93,
2019,F,21,Zeta Tau Alpha,09:11.64,
2019,F,22,Independent Council 2,09:12.08,
2019,F,23,Kappa Delta 1,09:12.77,
2019,F,24,Phi Gamma Nu,09:13.68,
2019,F,25,Alpha Omicron Pi,09:14.53,
2019,F,26,Theta Phi Alpha 2,09:16.39,
2019,F,27,Kappa Kappa Gamma,09:32.02,
2019,F,28,Nursing,09:34.22,
2019,F,29,Kappa Alpha Theta 2,09:39.48,
2019,F,30,Alpha Sigma Alpha 1,09:42.35,
2019,F,31,Kappa Delta 2,09:43.61,
2019,F,32,Alpha Sigma Alpha 2,09:51.87,
2019,F,33,Sigma Kappa,09:54.08,
2019,M,1,Gray Goat,09:04.73,08:59.83
2019,M,2,Black Key Bulls,09:06.56,09:04.19
2019,M,3,Phi Kappa Psi,09:11.55,
2019,M,4,Jetblach,09:17.39,
2019,M,5,Bears,09:18.72,
2019,M,6,NEH Cycling,09:22.42,
2019,M,7,Cutters,09:26.35,
2019,M,8,Sigma Alpha Epsilon,09:29.84,
2019,M,9,Phi Delta Theta,09:31.96,
2019,M,10,Gafombi,09:34.10,
2019,M,11,3PH Cycling,09:37.88,
2019,M,12,Phi Gamma Delta,09:42.68,
2019,M,13,CSF Cycling,09:46.76,
2019,M,14,Pi Lambda Phi,09:50.25,
2019,M,15,Pi Kappa Alpha,09:50.99,
2019,M,16,Delta Upsilon,09:51.97,
2019,M,17,Beta Sigma Psi,09:59.40,
2019,M,18,Sigma Chi,10:00.51,
2019,M,19,Delta Sigma Pi,10:03.15,
2019,M,20,Godspeed,10:07.53,
2019,M,21,Acacia,10:29.27,
2019,M,22,3PH Cycling,10:44.40,
2019,M,23,Evans Scholars,10:51.42,
2019,M,24,Black Ice Cycling,10:53.09,
2018,F,1,Melanzana 1,08:20.05,08:22.91
2018,F,2,Kappa Alpha Theta,08:31.28,08:26.58
2018,F,3,SKI,08:43.62,
2018,F,4,Teter,08:43.65,
2018,F,5,Alpha Chi Omega,08:44.13,
2018,F,6,Delta Gamma 1,08:45.25,
2018,F,7,Alpha Gamma Delta 1,08:48.65,
2018,F,8,Alpha Omicron Pi,08:50.39,
2018,F,9,Indepentent Council,08:52.51,
2018,F,10,RideOn,09:04.38,
2018,F,11,Delta Sigma Pi,09:07.20,
2018,F,12,CSF Cycling,09:10.56,
2018,F,13,Alpha Sigma Alpha,09:17.04,
2018,F,14,Alpha Delta Pi,09:17.91,
2018,F,15,Alpha Xi Delta 1,09:22.47,
2018,F,16,Cru Cycling,09:22.47,
2018,F,17,Phi Mu,09:37.31,
2018,F,18,Theta Phi Alpha 1,09:40.99,
2018,F,19,Sigma Kappa,09:45.44,
2018,F,20,Alpha Xi Delta 2,09:46.62,
2018,F,21,Chi Omega 1,09:48.01,
2018,F,22,Theta Phi Alpha 2,09:54.53,
2018,F,23,Centripedel Force,09:56.23,
2018,F,24,Gamma Phi Beta,09:56.36,
2018,F,25,Alpha Gamma Delta 2,10:07.75,
2018,F,26,Kappa Kappa Gamma,10:14.14,
2018,F,27,Delta Zeta,10:22.24,
2018,F,28,Chi Omega 2,10:46.70,
2018,F,29,Kappa Delta,10:55.01,
2018,M,1,Sigma Phi Epsilon,09:10.40,09:08.8
2018,M,2,Black Key Bulls 1,09:16.20,09:17.9
2018,M,3,Sigma Alpha Epsilon,09:24.11,
2018,M,4,Bears,09:31.87,
2018,M,5,Beta Theta Pi,09:33.51,
2018,M,6,3PH,09:39.37,
2018,M,7,JETBLACH 1,09:45.74,
2018,M,8,Gray Goat 1,09:46.74,
2018,M,9,Sigma Chi,09:48.62,
2018,M,10,Phi Gamma Delta,09:50.26,
2018,M,11,Forest Cycling,09:54.70,
2018,M,12,Gray Goat 2,09:56.64,
2018,M,13,Phi Kappa Psi,10:01.20,
2018,M,14,Phi Delta Theta,10:02.32,
2018,M,15,Delta Upsilon,10:02.99,
2018,M,16,Delta Chi,10:05.47,
2018,M,17,CSF Cycling,10:09.51,
2018,M,18,Black Key Bulls 2,10:09.71,
2018,M,19,Pi Kappa Alpha,10:11.39,
2018,M,20,Chi Alpha,10:25.52,
2018,M,21,Pi Lambda Phi,10:28.00,
2018,M,22,Acacia,10:36.32,
2018,M,23,Beta Sigma Psi,10:40.26,
2018,M,24,Phi Sigma Kappa,10:45.01,
2018,M,25,Young Pioneer,11:28.56,
2018,M,26,Theta Chi,15:24.07,
2017,M,1,Black Key Bulls,09:25.99,09:05.12
2017,M,2,CSF Cycling,09:39.62,09:35.03
2017,M,3,Gray Goat,09:42.64,
2017,M,4,Beta Theta Pi,09:42.92,
2017,M,5,Sigma Phi Epsilon,09:44.29,
2017,M,6,Pi Kappa Alpha,09:44.53,
2017,M,7,3PH,09:48.56,
2017,M,8,CUTTERS,09:51.88,
2017,M,9,Bears,09:53.40,
2017,M,10,Sigma Phi Epsilon 2,09:54.70,
2017,M,11,Forest Cycling,09:58.81,
2017,M,12,Sigma Chi,10:10.01,
2017,M,13,Phi Gamma Delta,10:12.07,
2017,M,14,Lambda Chi Alpha,10:13.03,
2017,M,15,Acacia,10:17.80,
2017,M,16,Black Key Bulls 2,10:20.24,
2017,M,17,Kappa Sigma,10:23.10,
2017,M,18,Pi Lambda Phi,10:23.22,
2017,M,19,Phi Delta Theta,10:29.38,
2017,M,20,Gray Goat 2,10:30.06,
2017,M,21,Phi Sigma Kappa,10:32.01,
2017,M,22,JETBLACH,10:33.67,
2017,M,23,Alpha Sigma Phi,10:35.74,
2017,M,24,Sigma Alpha Epsilon,10:40.19,
2017,M,25,Black Ice Cycling,10:40.57,
2017,M,26,Sigma Phi Epsilon 3,10:41.83,
2017,M,27,Beta Sigma Psi,10:44.86,
2017,M,28,Delta Chi,10:52.68,
2017,M,29,Sigma Nu,10:53.16,
2017,M,30,Theta Chi,10:53.22,
2017,M,31,Acacia 2,11:04.76,
2017,M,32,Alpha Epsilon Pi,11:10.59,
2017,M,33,Young Pioneers,11:19.19,
2017,M,34,3PH Cycling 2,11:20.75,
2017,M,35,Young Life,11:45.64,
2017,F,1,Delta Gamma,08:40.24,08:08.37
2017,F,2,Kappa Alpha Theta,08:37.65,08:09.31
2017,F,3,SKI,08:48.45,
2017,F,4,Phi Mu,08:48.58,
2017,F,5,Alpha Chi Omega 1,08:54.59,
2017,F,6,Alpha Gamma Delta 1,08:58.87,
2017,F,7,Melanzana 1,09:01.56,
2017,F,8,RideOn,09:03.79,
2017,F,9,Delta Sigma Pi W,09:12.34,
2017,F,10,Melanzana 2,09:13.10,
2017,F,11,Kappa Delta,09:15.39,
2017,F,12,Alpha Omicron Pi,09:17.14,
2017,F,13,Alpha Xi Delta,09:20.34,
2017,F,14,Cru Cycling 1,09:23.30,
2017,F,15,Teter,09:27.18,
2017,F,16,Alpha Sigma Alpha 1,09:28.29,
2017,F,17,Alpha Chi Omega 2,09:29.00,
2017,F,18,Alpha Delta Pi,09:32.62,
2017,F,19,Independent Council,09:35.45,
2017,F,20,Kappa Kappa Gamma,09:40.52,
2017,F,21,Sweet Potato Club,09:41.81,
2017,F,22,Alpha Gamma Delta 2,09:44.14,
2017,F,23,Sigma Kappa,09:46.43,
2017,F,24,Theta Phi Alpha,09:50.41,
2017,F,25,Delta Gamma 2,09:53.37,
2017,F,26,Phi Gamma Nu,09:56.95,
2017,F,27,IU Nursing,10:10.36,
2017,F,28,Delta Zeta,10:12.06,
2017,F,29,Delta Phi Epsilon,10:30.16,
2017,F,30,Theta Phi Alpha 2,10:33.85,
2017,F,31,Cru Cycling 2,11:04.51,
2017,F,32,Camp Kesem Cycling,11:05.50,
2017,F,33,Sigma Delta Tau,11:10.25,
2017,F,34,Alpha Epsilon Phi,12:04.09,
2016,M,1,Black Key Bulls,09:23.19,09:26.77
2016,M,2,Sigma Alpha Epsilon *,09:32.65,
2016,M,3,Cutters,09:36.86,
2016,M,4,Wright Cycling,09:37.61,
2016,M,5,Gray Goat,09:45.61,
2016,M,6,Black Key Bulls 2,09:46.27,
2016,M,7,Sigma Phi Epsilon,09:46.67,
2016,M,8,Phi Delta Theta,09:53.33,
2016,M,9,CSF Cycling,10:01.80,
2016,M,10,Forest Cycling,10:02.83,
2016,M,11,Delta Chi,10:05.60,
2016,M,12,3PH Cycling,10:08.24,
2016,M,13,Sigma Nu,10:13.35,
2016,M,14,Lambda Chi Alpha,10:13.86,
2016,M,15,Delta Tau Delta,10:17.90,
2016,M,16,Phi Gamma Delta,10:18.17,
2016,M,17,Sigma Chi,10:23.75,
2016,M,18,Pi Lambda Phi,10:35.32,
2016,M,19,Alpha Sigma Phi,10:35.71,
2016,M,20,Phi Kappa Sigma,10:36.39,
2016,M,21,Young Pioneer,10:53.60,
2016,M,22,Alpha Epsilon Pi,10:54.73,
2016,M,23,Beta Sigma Psi,10:55.52,
2016,M,24,Pi Kappa Alpha,11:01.43,
2016,M,25,Collins Bucanneers,11:13.31,
2016,M,26,Acacia,11:20.03,
2016,M,27,Tau Kappa Epsilon,11:39.56,
2016,M,28,Phi Delta Theta 2,11:50.31,
2016,M,29,Pi Kappa Phi,12:12.97,
2016,F,1,Teter,08:36.81,08:30.62
2016,F,2,Kappa Alpha Theta,08:30.81,08:41.15
2016,F,3,Delta Gamma,08:41.15,
2016,F,4,Alpha Omicron Pi,08:41.80,
2016,F,5,Phoenix,08:46.92,
2016,F,6,Kappa Alpha Theta 2,08:59.94,
2016,F,7,Phi Mu,09:03.85,
2016,F,8,Cru Women's Cycling,09:10.87,
2016,F,9,Delta Sigma Pi,09:12.45,
2016,F,10,Alpha Chi Omega,09:18.77,
2016,F,11,Melanzana Cycling 2,09:19.45,
2016,F,12,Delta Zeta,09:19.83,
2016,F,13,Alpha Sigma Alpha,09:19.92,
2016,F,14,Delta Gamma 2,09:21.38,
2016,F,15,RideOn,09:23.51,
2016,F,16,Kappa Delta 2,09:25.83,
2016,F,17,Kappa Kappa Gamma,09:29.22,
2016,F,18,Chi Omega,09:31.86,
2016,F,19,Gamma Phi Beta,09:32.88,
2016,F,20,Alpha Sigma Alpha 2,09:33.14,
2016,F,21,Alpha Xi Delta,09:33.71,
2016,F,22,Melanzana Cycling,09:36.95,
2016,F,23,Alpha Gamma Delta,09:38.46,
2016,F,24,CSF,09:38.79,
2016,F,25,Alpha Delta Pi,09:49.74,
2016,F,26,Theta Phi Alpha,10:15.32,
2016,F,27,Phi Mu 2,10:17.95,
2016,F,28,RideOn 2,10:18.40,
2016,F,29,Alpha Gamma Delta 2,10:56.08,
2016,F,30,Sigma Delta Tau,11:18.77,
2015,M,1,Black Key Bulls,09:07.61,08:56.42
2015,M,2,Delta Tau Delta,09:12.46,09:03.14
2015,M,3,Black Key Bulls 2,09:15.35,
2015,M,4,Sigma Alpha Epsilon,09:17.06,
2015,M,5,Phi Delta Theta,09:20.81,
2015,M,6,Beta Theta Pi,09:21.52,
2015,M,7,Sigma Phi Epsilon,09:22.04,
2015,M,8,Cutters,09:23.48,
2015,M,9,Forest Cycling,09:25.25,
2015,M,10,Sigma Nu,09:28.35,
2015,M,11,Gray Goat,09:31.09,
2015,M,12,Wright Cycling,09:38.11,
2015,M,13,Northern Indiana Cycling,09:43.14,
2015,M,14,Phi Kappa Sigma,09:46.11,
2015,M,15,Delta Chi,09:49.25,
2015,M,16,3PH Cycling,09:50.27,
2015,M,17,CSF Cycling,09:52.22,
2015,M,18,Phi Gamma Delta,09:54.55,
2015,M,19,Alpha Epsilon Pi,09:58.42,
2015,M,20,Lambda Chi Alpha,09:58.66,
2015,M,21,Kappa Sigma,10:01.65,
2015,M,22,3PH Cycling 2,10:02.33,
2015,M,23,Phi Sigma Kappa,10:10.58,
2015,M,24,Forest Cycling 2,10:10.66,
2015,M,25,Pi Kappa Alpha,10:16.05,
2015,M,26,YoungLife,10:23.94,
2015,M,27,Delta Upsilon,10:25.30,
2015,M,28,Phi Delta Theta 2,10:28.37,
2015,M,29,Delta Sigma Pi,10:31.66,
2015,M,30,Collins Buccaneers,10:41.51,
2015,M,31,Delta Tau Sigma Epsilon,10:43.28,
2015,M,32,Beta Sigma Psi,10:59.81,
2015,M,33,Kappa Sigma 2,11:47.02,
2015,F,1,Ski,08:16.08,08:10.01
2015,F,2,Alpha Chi Omega,08:24.32,08:17.93
2015,F,3,Kappa Alpha Theta,08:29.23,
2015,F,4,Phoenix Cycling,08:29.95,
2015,F,5,Alpha Omicron Pi,08:34.46,
2015,F,6,Melanzana Cycling,08:36.14,
2015,F,7,Kappa Delta,08:37.83,
2015,F,8,Delta Gamma,08:38.50,
2015,F,9,Melanzana 2,08:40.43,
2015,F,10,CRU Cycling,08:41.33,
2015,F,11,Alpha Xi Delta,08:45.19,
2015,F,12,Gamma Phi Beta,08:45.33,
2015,F,13,CSF,08:47.19,
2015,F,14,Alpha Gamma Delta,08:48.76,
2015,F,15,Alpha Sigma Alpha,08:49.47,
2015,F,16,Phi Mu,08:55.25,
2015,F,17,Kappa Kappa Gamma,08:55.26,
2015,F,18,Delta Sigma Pi,08:55.77,
2015,F,19,Pi Beta Phi,09:02.43,
2015,F,20,Wing It,09:02.83,
2015,F,21,Alpha Delta Pi,09:08.34,
2015,F,22,RideOn,09:08.39,
2015,F,23,Chi Omega,09:25.57,
2015,F,24,Independent Council Cycling,09:33.40,
2015,F,25,IU Nursing,09:37.00,
2015,F,26,Theta Phi Alpha,09:38.71,
2015,F,27,Alpha Gamma Delta 2,09:49.23,
2015,F,28,Zeta Tau Alpha,09:52.18,
2015,F,29,Independent Council Cycling 2,09:59.57,
2015,F,30,Theta Phi Alpha 2,10:16.94,
2015,F,31,Sigma Delta Tau,11:45.56,
2015,F,32,Alpha Epsilon Phi,13:16.01,
2014,M,1,Black Key Bulls,09:21.16,09:16.31
2014,M,2,Phi Gamma Delta,09:22.86,09:25.31
2014,M,3,Cutters,09:23.65,
2014,M,4,Phi Delta Theta,09:26.81,
2014,M,5,Delta Tau Delta,09:30.19,
2014,M,6,Beta Theta Pi,09:34.44,
2014,M,7,Sigma Alpha Epsilon,09:35.36,
2014,M,8,Wright Cycling,09:35.94,
2014,M,9,CSF (M),09:42.24,
2014,M,10,Phi Delta Theta (2),09:45.71,
2014,M,11,Black Key Bulls (2),09:47.77,
2014,M,12,Forest Cycling,09:48.02,
2014,M,13,Sigma Phi Epsilon,09:49.13,
2014,M,14,Gray Goat,09:57.56,
2014,M,15,Phi Kappa Sigma,10:02.33,
2014,M,16,Phi Kappa Psi,10:06.84,
2014,M,17,Wright Cycling 2,10:16.03,
2014,M,18,Delta Chi,10:16.45,
2014,M,19,Delta Sigma Pi,10:19.35,
2014,M,20,Delta Upsilon,10:22.97,
2014,M,21,Collins Buccaneers,10:26.47,
2014,M,22,Sigma Phi Epsilon (2),10:36.08,
2014,M,23,Sigma Alpha Epsilon (2),10:46.16,
2014,M,24,Northern Indiana Cycling,10:49.24,
2014,M,25,Pi Kappa Alpha,10:55.31,
2014,M,26,Alpha Tau Omega,10:56.77,
2014,M,27,Phi Sigma Kappa,11:52.87,
2014,M,28,Phi Kappa Tau,11:57.59,
2014,M,29,Collins Buccaneers (2),12:16.85,
2014,F,1,Teter,08:20.57,08:16.89
2014,F,2,Alpha Chi Omega,08:19.46,08:29.42
2014,F,3,Kappa Alpha Theta,08:28.64,
2014,F,4,Cru (W),08:46.84,
2014,F,5,Alpha Gamma Delta,08:47.20,
2014,F,6,Delta Gamma,08:53.20,
2014,F,7,Melanzana,09:00.10,
2014,F,8,Phi Mu,09:00.40,
2014,F,9,Wing It,09:00.50,
